Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
FIT_HPPP_Bound_060622_04.313.313.1.dta 6581 6581 0 0 2469 2469
FIT_HPPP_Bound_060622_04.314.314.1.dta 5745 5745 0 0 974 974
FIT_HPPP_Bound_060622_04.315.317.1.dta 9592 5191 0 0 1866 1017
FIT_HPPP_Bound_060622_04.319.321.2.dta 2374 2374 0 0 1100 663
FIT_HPPP_Bound_060622_04.319.321.3.dta 2374 2374 0 0 1100 663
FIT_HPPP_Bound_060622_04.325.325.2.dta 3640 3640 0 0 296 296
FIT_HPPP_Bound_060622_04.325.325.3.dta 3640 3640 0 0 296 296
FIT_HPPP_Bound_060622_04.326.326.2.dta 2927 2927 0 0 658 658
FIT_HPPP_Bound_060622_04.326.326.3.dta 2927 2927 0 0 658 658
FIT_HPPP_Bound_060622_04.327.327.1.dta 34071 34071 0 0 1040 1040
FIT_HPPP_Bound_060622_04.329.329.2.dta 2960 2960 0 0 748 748
FIT_HPPP_Bound_060622_04.329.329.3.dta 2960 2960 0 0 748 748
FIT_HPPP_Bound_060622_04.333.333.2.dta 2558 2558 0 0 712 712
FIT_HPPP_Bound_060622_04.333.333.3.dta 2558 2558 0 0 712 712
FIT_HPPP_Bound_060622_04.334.334.2.dta 1958 1958 0 0 775 775
FIT_HPPP_Bound_060622_04.334.334.3.dta 1958 1958 0 0 775 775
FIT_HPPP_Bound_060622_04.335.335.2.dta 1931 1931 0 0 122 122
FIT_HPPP_Bound_060622_04.335.335.3.dta 1931 1931 0 0 122 122
FIT_HPPP_Bound_060622_04.337.337.1.dta 4003 4003 0 0 747 747
FIT_HPPP_Bound_060622_04.338.338.2.dta 3110 3110 0 0 493 493
FIT_HPPP_Bound_060622_04.338.338.3.dta 3110 3110 0 0 493 493
FIT_HPPP_Bound_060622_04.339.339.2.dta 1560 1560 0 0 4772 4772
FIT_HPPP_Bound_060622_04.339.339.3.dta 1560 1560 0 0 4772 4772
FIT_HPPP_Bound_060622_04.341.341.2.dta 6802 6802 0 0 107 107
FIT_HPPP_Bound_060622_04.341.341.3.dta 6802 6802 0 0 107 107
FIT_HPPP_Bound_060622_04.345.345.1.dta 4385 4385 0 0 402 402
FIT_HPPP_Bound_060622_04.353.353.1.dta 23302 23302 0 0 934 934
FIT_HPPP_Bound_060622_04.356.356.1.dta 24833 24833 0 0 1074 1074
FIT_HPPP_Bound_060622_04.358.358.2.dta 3080 3080 0 0 52 52
FIT_HPPP_Bound_060622_04.358.358.3.dta 3080 3080 0 0 52 52
FIT_HPPP_Bound_060622_04.366.366.2.dta 0 0 0 0 406 406
FIT_HPPP_Bound_060622_04.366.366.3.dta 0 0 0 0 406 406
FIT_HPPP_Bound_060622_04.372.372.1.dta 218889 218889 0 0 2221 2221
FIT_HPPP_Bound_060622_04.376.376.2.dta 0 0 0 0 75 75
FIT_HPPP_Bound_060622_04.376.376.3.dta 0 0 0 0 75 75
FIT_HPPP_Bound_060622_04.378.378.1.dta 30735 30735 0 0 1190 1190
FIT_HPPP_Bound_060622_04.382.382.2.dta 1395 1395 0 0 678 678
FIT_HPPP_Bound_060622_04.382.382.3.dta 1395 1395 0 0 678 678
FIT_HPPP_Bound_060622_04.383.383.2.dta 2032 2032 0 0 320 320
FIT_HPPP_Bound_060622_04.383.383.3.dta 2032 2032 0 0 320 320
FIT_HPPP_Bound_060622_04.384.384.1.dta 104754 104754 0 0 982 982
FIT_HPPP_Bound_060622_04.386.386.2.dta 2802 2802 0 0 332 332
FIT_HPPP_Bound_060622_04.386.386.3.dta 2802 2802 0 0 332 332
FIT_HPPP_Bound_060622_04.387.387.1.dta 5097 5097 0 0 932 932
FIT_HPPP_Bound_060622_04.388.388.1.dta 149030 149030 0 0 938 938
FIT_HPPP_Bound_060622_04.390.390.2.dta 2103 2103 0 0 331 331
FIT_HPPP_Bound_060622_04.390.390.3.dta 2103 2103 0 0 331 331
FIT_HPPP_Bound_060622_04.394.394.2.dta 2040 2040 0 0 426 426
FIT_HPPP_Bound_060622_04.394.394.3.dta 2040 2040 0 0 426 426
FIT_HPPP_Bound_060622_04.395.395.2.dta 0 0 0 0 238 238
FIT_HPPP_Bound_060622_04.395.395.3.dta 0 0 0 0 238 238
FIT_HPPP_Bound_060622_04.397.397.2.dta 1761 1761 0 0 628 628
FIT_HPPP_Bound_060622_04.397.397.3.dta 1761 1761 0 0 628 628
FIT_HPPP_Bound_060622_04.399.399.2.dta 2160 2160 0 0 927 927
FIT_HPPP_Bound_060622_04.399.399.3.dta 2160 2160 0 0 927 927
FIT_HPPP_Bound_060622_04.401.401.1.dta 2622 2622 0 0 5648 5648
FIT_HPPP_Bound_060622_04.403.403.1.dta 293320 293320 0 0 4516 4516
FIT_HPPP_Bound_060622_04.405.405.2.dta 2142 2142 0 0 921 921
FIT_HPPP_Bound_060622_04.405.405.3.dta 2142 2142 0 0 921 921
FIT_HPPP_Bound_060622_04.406.406.2.dta 0 0 0 0 92 92
FIT_HPPP_Bound_060622_04.406.406.3.dta 0 0 0 0 92 92
FIT_HPPP_Bound_060622_04.407.409.2.dta 4141 2571 0 0 1586 851
FIT_HPPP_Bound_060622_04.407.409.3.dta 4141 2571 0 0 1586 851
FIT_HPPP_Bound_060622_04.410.410.1.dta 4623 4623 0 0 1236 1236
FIT_HPPP_Bound_060622_04.411.411.1.dta 7836 7836 0 0 656 656
FIT_HPPP_Bound_060622_04.413.413.2.dta 2101 2101 0 0 403 403
FIT_HPPP_Bound_060622_04.413.413.3.dta 2101 2101 0 0 403 403
FIT_HPPP_Bound_060622_04.414.414.2.dta 1668 1668 0 0 145 145
FIT_HPPP_Bound_060622_04.414.414.3.dta 1668 1668 0 0 145 145
FIT_HPPP_Bound_060622_04.415.415.1.dta 2948 2948 0 0 5828 5828
